Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Doma,8oVK6iM82dBTFLb10LYkBg,4.5,64,4,San Francisco,CA,94110,Japanese
Eight Tables by George Chen,2FOv-XAZ2sMIlrE5xJc1Hw,5.0,50,4,San Francisco,CA,94133,Chinese
Sasaki,ouf3PRrw86VuiAQXgDljYQ,4.5,59,4,San Francisco,CA,94110,Sushi Bars
Nightbird,Nhdz8ztI0SQkdcW7C38VGA,4.0,111,4,San Francisco,CA,94102,American (New)
RTB Fillmore,Tf6Yv0vD8OMiXI1v9jdQsg,4.0,51,4,San Francisco,CA,94115,American (New)
Kinjo,OlgHnpdim58vWkjuh3rVcw,4.0,77,4,San Francisco,CA,94109,Japanese
Jai Yun,BnZYqj66esOPiSbqeJb7zA,3.5,136,4,San Francisco,CA,94133,Chinese
The Halal Guys,xEnNFXtMLDF5kZDxfaCJgA,4.5,8984,1,New York,NY,10019,Food Stands
Los Tacos No.1,jnEv25Y2DosTq2sNnvmC9g,4.5,2389,1,New York,NY,10011,Tacos
Bibble & Sip,WHRHK3S1mQc3PmhwsGRvbw,4.5,3812,1,New York,NY,10019,Coffee & Tea
Best Bagel & Coffee,j1S3NUrkB3BVT49n_e76NQ,4.5,2449,1,New York,NY,10001,Bagels
Prince Street Pizza,zj8Lq1T8KIC5zwFief15jg,4.5,2157,1,New York,NY,10012,Pizza
Chinatown Ice Cream Factory,o6q3jm-dU5A6nV3r2lBg9A,4.0,2538,1,New York,NY,10013,Ice Cream & Frozen Yogurt
Taiyaki NYC,vk7W3_sQwr7eZbRFsXv6rw,4.5,2242,1,New York,NY,10013,Ice Cream & Frozen Yogurt
Dough,P58WuRP1AGD9ruE2bZ2urw,4.5,1656,1,Brooklyn,NY,11205,Donuts
Mamoun's Falafel,L-IuiVoFMDSw2K6OAciP1g,4.0,2263,1,New York,NY,10012,Middle Eastern
Wafels & Dinges,xJSH3EM1iZtOh4WZti4qjg,4.5,1516,1,New York,NY,10011,Belgian
Sugar Sweet Sunshine Bakery,qVSOes5JoWc5_umv4nd4Hg,4.0,1997,1,New York,NY,10002,Bakeries
Eileen's Special Cheesecake,6G_NSMacAfdf-WYOpcQ4uw,4.5,1390,1,New York,NY,10012,Bakeries
Artichoke Basille's Pizza,vfYhEpp0x-DrNjC6GSJjPQ,4.0,3692,1,New York,NY,10003,Pizza
Taim West Village,j0n_poMVZnODYOFviLbh0Q,4.5,1451,1,New York,NY,10014,Vegetarian
Saigon Shack,7Qvh0oFRsoqrO9qNlcMKXQ,4.0,2138,1,New York,NY,10012,Sandwiches
Soft Swerve,7-jMpWGUxPB8EEtmoqNdqg,4.5,1405,1,New York,NY,10002,Ice Cream & Frozen Yogurt
McSorleys Old Ale House,QArou0r7CmLNPWYRA9ecog,4.0,1645,1,New York,NY,10003,Dive Bars
Breakroom,MfbVI5reXLIIs8Cc2HwgQw,4.5,1418,1,New York,NY,10013,Burgers
Sundaes and Cones,TPBTUvbBVUfJeEWWy1o1QQ,4.5,1395,1,New York,NY,10003,Ice Cream & Frozen Yogurt
Wah Fung No 1 Fast Food,X8ZS-dgiMIJvhwf9SaDnjw,4.5,1037,1,New York,NY,10002,Chinese
Ess-a-Bagel,c3eMI4_o4dPDDhPV_ibBYQ,4.0,2966,1,New York,NY,10022,Bakeries
Cheeky Sandwiches,gHdejB1Mx2P5UjAgZ6BT2w,4.5,1057,1,New York,NY,10002,Sandwiches
Joe's Pizza,uc5qQMzs96rzjK27epDCug,4.0,2061,1,New York,NY,10014,Pizza
JoJu,JlFbaMbMzsu7FA307mUIqg,4.5,1436,1,Elmhurst,NY,11373,Vietnamese
